date,new_mean,new_median,new_q025,new_q975,cum_mean,cum_median,cum_q025,cum_q975,new_chicken_mean,new_duck_mean
2026-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-25,6.32,6.0,2.0,12.0,6.32,6.0,2.0,12.0,5.15,1.17
2026-01-26,4.31,4.0,0.0,9.0,10.64,10.0,5.0,17.0,3.41,0.9
2026-01-27,3.72,4.0,0.0,8.0,14.36,14.0,7.0,23.0,2.98,0.75
2026-01-28,4.15,4.0,0.0,9.0,18.51,18.0,9.0,30.52,3.31,0.84
2026-01-29,4.16,4.0,0.0,9.0,22.67,22.0,12.0,37.0,3.31,0.84
2026-01-30,4.74,4.5,1.0,10.0,27.41,27.0,14.0,45.0,3.72,1.03
2026-01-31,5.01,5.0,1.0,10.0,32.42,32.0,17.0,51.0,3.98,1.03
2026-02-01,5.66,5.0,1.0,12.0,38.08,37.0,20.0,58.52,4.44,1.22
2026-02-02,5.81,6.0,1.0,12.0,43.89,43.0,22.48,70.05,4.57,1.23
2026-02-03,6.66,6.0,2.0,13.52,50.55,50.0,26.0,81.0,5.29,1.37
2026-02-04,7.13,7.0,1.47,14.0,57.67,57.0,27.0,90.0,5.64,1.49
2026-02-05,7.57,7.0,2.0,15.0,65.25,64.0,32.0,103.05,5.94,1.64
2026-02-06,8.0,8.0,2.0,16.0,73.24,72.0,35.48,114.05,6.28,1.72
2026-02-07,7.89,8.0,2.0,16.0,81.14,79.5,40.48,127.0,6.21,1.68
2026-02-08,8.2,8.0,2.0,17.05,89.34,88.0,45.0,141.52,6.39,1.82
2026-02-09,8.42,8.0,3.0,17.0,97.76,96.0,49.47,155.05,6.61,1.81
2026-02-10,8.54,8.0,2.0,17.0,106.3,105.0,55.0,169.52,6.68,1.86
