county,district,n_farms,n_existing_cases,expected_new_cases,max_farm_risk,n_farms_at_risk
Fulton,Secaucus,80,0,3.04,0.088,80
Fulton,Trenton,57,0,3.03,0.102,57
Fulton,Newfield,59,0,2.62,0.118,59
Fulton,Ocean,57,0,2.52,0.102,57
Fulton,Linwood,48,0,2.46,0.108,48
Fulton,Pleasantville,47,0,2.37,0.1,47
Fulton,Logan,75,0,2.31,0.08,75
Fulton,Harding,61,0,2.2,0.096,61
Fulton,Hightstown,48,0,2.1,0.102,48
Allegheny,Demarest,76,1,2.06,0.072,74
Allegheny,Cliffside Park,55,0,2.06,0.078,55
Fulton,Hawthorne,42,0,2.04,0.11,42
Allegheny,Aberdeen,70,0,1.98,0.078,70
Luzerne,Morrisville,40,0,1.84,0.106,40
Luzerne,Fredon,53,0,1.83,0.104,53
Cumberland,Mount Olive,42,0,1.78,0.088,42
Berks,Port Matilda,50,1,1.76,0.076,49
Fulton,Clifton,41,0,1.73,0.114,41
Susquehanna,Lyndhurst,64,6,1.71,0.064,58
Berks,Irvington,38,0,1.67,0.098,38
Berks,Warwick,39,0,1.65,0.082,39
Fulton,Hulmeville,48,0,1.58,0.088,48
Cumberland,Wildwood Crest,40,0,1.56,0.08,40
Fulton,Washington,34,0,1.52,0.1,34
Allegheny,Guttenberg,50,0,1.5,0.076,50
Blair,Walpack,43,0,1.5,0.08,43
Fulton,Providence,31,0,1.45,0.106,31
Lancaster,Lansdale,64,0,1.42,0.064,64
Allegheny,Rockleigh,39,0,1.39,0.086,39
Berks,Point Pleasant,43,0,1.36,0.086,43
Cumberland,Point Pleasant Beach,39,0,1.35,0.07,39
Luzerne,Hardyston,42,1,1.34,0.088,41
Fulton,Dublin,30,0,1.34,0.108,30
Allegheny,Toms River,39,0,1.32,0.078,39
Berks,Barnegat Light,39,1,1.31,0.082,38
Blair,Quinton,46,0,1.3,0.066,46
Fulton,Roselle,30,0,1.27,0.092,30
Allegheny,Lacey,31,0,1.23,0.088,31
Berks,Belmar,33,1,1.21,0.088,31
Fulton,Lincoln Park,28,0,1.21,0.088,28
Allegheny,Long Hill,34,0,1.17,0.084,34
Berks,Arlington,37,3,1.17,0.072,33
Luzerne,Pine Hill,41,0,1.15,0.08,41
Allegheny,Marion,33,0,1.13,0.086,33
Berks,Carteret,30,2,1.13,0.078,28
Berks,Elmer,30,0,1.12,0.08,30
Allegheny,Princeton,22,0,1.11,0.104,22
Berks,Little Falls,40,0,1.11,0.066,40
Allegheny,Durham,23,0,1.1,0.118,23
Fulton,Mountain Lakes,30,0,1.09,0.078,30
Allegheny,Union,27,0,1.08,0.098,27
Berks,Liberty,38,4,1.07,0.066,29
Susquehanna,Cranford,28,0,1.07,0.102,28
Berks,Warren,34,0,1.05,0.076,34
Blair,Carlstadt,31,0,1.04,0.08,31
Fulton,Rockaway,24,0,1.04,0.08,24
Luzerne,Paulsboro,47,0,1.04,0.05,47
Berks,Harrison,35,0,1.01,0.068,35
Allegheny,Orange Village,24,0,1.01,0.102,24
Berks,Berlin,37,4,1.0,0.066,32
Berks,Tenafly,39,3,1.0,0.072,33
Berks,Middlesex,20,0,1.0,0.076,20
Cumberland,Hammonton,41,1,0.98,0.054,39
Allegheny,Burlington,20,0,0.97,0.104,20
Cumberland,Harvey Cedars,30,0,0.97,0.068,30
Susquehanna,Amwell,20,0,0.96,0.114,20
Berks,Plainfield,29,0,0.94,0.074,29
Mifflin,Hainesport,29,0,0.91,0.06,29
Fulton,Gloucester City,27,0,0.9,0.08,27
Berks,Stratford,28,3,0.88,0.09,25
Fulton,Chesilhurst,22,0,0.88,0.112,22
Blair,Jefferson,37,0,0.87,0.058,36
Lancaster,Far Hills,32,0,0.84,0.052,32
Berks,Franklin Lakes,21,0,0.83,0.068,21
Cumberland,Mendham,35,0,0.83,0.058,34
Blair,Branchburg,29,0,0.83,0.056,28
Berks,Elk,27,0,0.83,0.07,27
Berks,Manalapan,25,2,0.83,0.07,22
Susquehanna,Beach Haven,17,0,0.83,0.086,17
Mifflin,Oxford,33,0,0.82,0.058,33
Berks,Hazlet,25,2,0.8,0.076,20
Indiana,Collingswood,24,0,0.8,0.08,24
Fulton,Mine Hill,33,0,0.79,0.056,33
Allegheny,Orange,28,0,0.79,0.094,28
Berks,Bayonne,22,1,0.79,0.08,21
Susquehanna,Montague,17,0,0.79,0.084,17
Luzerne,Gwynedd,29,0,0.79,0.084,29
Allegheny,Oldmans,22,0,0.78,0.08,22
Luzerne,Medford,40,0,0.77,0.07,38
Cumberland,Montvale,26,0,0.77,0.064,26
Cumberland,Rumson,28,0,0.75,0.058,28
Berks,Sayreville,25,3,0.75,0.072,20
Luzerne,Teaneck,27,3,0.72,0.078,23
Fulton,Verona,21,0,0.7,0.064,21
Cumberland,Roxbury,37,1,0.7,0.048,35
Berks,Jersey City,13,0,0.69,0.088,13
