farm_id,x,y,county,district,species,production,observed_case,p_new_case
1,454041.272865852,4.6767454847226e6,Allegheny,Cliffside Park,duck,conventional,false,0.002
2,437886.164923934,4.64286726168917e6,Allegheny,Rockleigh,chicken,broiler_2,false,0.008
3,418430.342103822,4.67337312704002e6,Fulton,Roselle,chicken,broiler_2,false,0.006
4,415527.794992011,4.66355209886266e6,Fulton,Hightstown,duck,organic,false,0.006
5,435731.287823541,4.6704697647097e6,Fulton,Hulmeville,duck,conventional,false,0.0
6,412596.016275603,4.66863492455324e6,Fulton,Roselle,chicken,broiler_2,false,0.004
7,440294.49452272,4.67721263979843e6,Fulton,Logan,duck,organic,false,0.002
8,424341.446949416,4.67857961390029e6,Fulton,Secaucus,duck,conventional,false,0.004
9,435977.378832262,4.65763285534981e6,Allegheny,Demarest,duck,conventional,false,0.002
10,431866.164424147,4.64717003727031e6,Fulton,Harding,chicken,broiler_2,false,0.01
11,446155.777044772,4.66367865979842e6,Allegheny,Aberdeen,chicken,broiler_2,false,0.002
12,437880.378735591,4.64378755441469e6,Allegheny,Rockleigh,duck,conventional,false,0.0
13,419574.08055088,4.6607312789546e6,Fulton,Clifton,duck,conventional,false,0.002
14,454332.395392698,4.66956427249101e6,Allegheny,Cliffside Park,chicken,broiler_1,false,0.004
15,441947.368837493,4.64273822293494e6,Allegheny,Rockleigh,duck,conventional,false,0.01
16,437076.242944816,4.64995502079878e6,Allegheny,Rockleigh,chicken,broiler_2,false,0.0
17,441598.597243924,4.67157858194806e6,Allegheny,Aberdeen,chicken,layer,false,0.01
18,428891.102754204,4.65303946376217e6,Fulton,Harding,duck,conventional,false,0.008
19,428180.282533965,4.66164251930889e6,Fulton,Ocean,duck,conventional,false,0.0
20,440120.101581146,4.67306760326983e6,Fulton,Logan,duck,conventional,false,0.004
21,425658.402285226,4.64896765316886e6,Fulton,Hawthorne,chicken,broiler_2,false,0.01
22,411900.183819297,4.65231344899673e6,Fulton,Pleasantville,chicken,broiler_2,false,0.014
23,417303.246865776,4.6444103909442e6,Fulton,Linwood,duck,conventional,false,0.0
24,426325.189165517,4.66426872832176e6,Fulton,Newfield,duck,conventional,false,0.002
25,431972.162473826,4.67553821663368e6,Fulton,Logan,chicken,broiler_2,false,0.004
26,423699.746926879,4.65885657469126e6,Fulton,Ocean,duck,conventional,false,0.002
27,427883.4750168,4.67067430988018e6,Fulton,Newfield,chicken,broiler_1,false,0.016
28,413005.541766193,4.6439977333386e6,Fulton,Trenton,duck,conventional,false,0.002
29,435321.600439244,4.66748265138879e6,Fulton,Hulmeville,duck,conventional,false,0.004
30,424292.255620809,4.6707683540351e6,Fulton,Newfield,chicken,broiler_1,false,0.012
31,441028.274422852,4.65557894477807e6,Allegheny,Demarest,chicken,broiler_2,false,0.004
32,413170.340909648,4.65381678474466e6,Fulton,Pleasantville,duck,conventional,false,0.0
33,435780.054761252,4.67654103148205e6,Fulton,Logan,chicken,broiler_2,false,0.01
34,444072.27546089,4.65982094781717e6,Allegheny,Demarest,duck,conventional,false,0.002
35,414999.030144129,4.67015051058902e6,Fulton,Roselle,duck,conventional,false,0.004
36,451082.237513468,4.67783728668374e6,Allegheny,Guttenberg,chicken,broiler_2,false,0.008
37,448322.404336008,4.67230525446209e6,Allegheny,Cliffside Park,duck,conventional,false,0.004
38,426077.17889398,4.66023190289753e6,Fulton,Ocean,chicken,broiler_2,false,0.002
39,424865.441686395,4.6467747608584e6,Fulton,Linwood,duck,conventional,false,0.0
40,452366.581808465,4.67320090290228e6,Allegheny,Cliffside Park,chicken,broiler_2,false,0.01
41,407991.49628145,4.66067224234722e6,Fulton,Hightstown,duck,conventional,false,0.004
42,412409.329721632,4.65421489787198e6,Fulton,Pleasantville,duck,conventional,false,0.002
43,430147.303153406,4.6693692179377e6,Fulton,Newfield,duck,organic,false,0.0
44,444658.425164854,4.65775885383886e6,Allegheny,Demarest,chicken,broiler_2,false,0.006
45,425903.826497785,4.66251156981445e6,Fulton,Newfield,duck,conventional,false,0.002
46,427410.40664168,4.64562477271894e6,Fulton,Dublin,chicken,layer,false,0.008
47,420442.367126237,4.64544251435124e6,Fulton,Linwood,chicken,broiler_2,false,0.012
48,445524.767628611,4.67617067888048e6,Allegheny,Guttenberg,duck,organic,false,0.002
49,447040.373590937,4.67142991605723e6,Allegheny,Cliffside Park,chicken,broiler_2,false,0.008
50,431789.102470928,4.66151515789156e6,Fulton,Ocean,chicken,broiler_2,false,0.01
51,440985.158215273,4.67665703485415e6,Fulton,Logan,chicken,broiler_1,false,0.006
52,435284.837667529,4.65094343780009e6,Fulton,Harding,duck,conventional,false,0.004
53,419694.89403526,4.65592119709578e6,Fulton,Hawthorne,chicken,broiler_2,false,0.004
54,424074.986206176,4.67829512965639e6,Fulton,Secaucus,chicken,broiler_2,false,0.014
55,413550.640628739,4.64374048679874e6,Fulton,Trenton,chicken,layer,false,0.006
56,449104.927654323,4.67960019410668e6,Allegheny,Guttenberg,chicken,broiler_2,false,0.016
57,442680.606063927,4.66717004982705e6,Allegheny,Aberdeen,duck,conventional,false,0.004
58,413431.162663427,4.66802572902525e6,Fulton,Roselle,duck,conventional,false,0.0
59,438510.905730262,4.65354529493894e6,Allegheny,Demarest,duck,conventional,false,0.0
60,412991.373651504,4.6705985234825e6,Fulton,Roselle,duck,conventional,false,0.004
61,423897.425512557,4.64584233078316e6,Fulton,Linwood,chicken,broiler_2,false,0.024
62,449747.241014075,4.67963787997205e6,Allegheny,Guttenberg,duck,organic,false,0.0
63,437763.777403883,4.64440347993347e6,Allegheny,Rockleigh,duck,conventional,false,0.002
64,422261.358821054,4.66163578810269e6,Fulton,Newfield,duck,conventional,false,0.002
65,414468.404234953,4.65867727349927e6,Fulton,Hightstown,duck,conventional,false,0.0
66,410903.13976692,4.66253683078652e6,Fulton,Hightstown,duck,conventional,false,0.006
67,418983.64967209,4.66107357931425e6,Fulton,Clifton,duck,conventional,false,0.0
68,422386.420986281,4.65527772024553e6,Fulton,Hawthorne,duck,conventional,false,0.0
69,426308.247370383,4.67727629137284e6,Fulton,Secaucus,chicken,broiler_1,false,0.008
70,406669.358079174,4.64749168568089e6,Fulton,Trenton,chicken,broiler_1,false,0.012
71,447512.640441032,4.66514474633674e6,Allegheny,Aberdeen,duck,organic,false,0.0
72,446603.949964293,4.67809530872013e6,Allegheny,Guttenberg,chicken,broiler_1,false,0.01
73,406825.767785463,4.66499843933156e6,Fulton,Washington,chicken,broiler_1,false,0.008
74,436794.256016446,4.65663673525864e6,Allegheny,Demarest,duck,conventional,false,0.002
75,419649.383551341,4.66158372338928e6,Fulton,Clifton,duck,conventional,false,0.0
76,418573.146074602,4.65283076122419e6,Fulton,Clifton,chicken,broiler_2,false,0.006
77,423201.389527041,4.65607841217709e6,Fulton,Clifton,duck,conventional,false,0.002
78,425673.6063486,4.65897143520673e6,Fulton,Ocean,chicken,broiler_1,false,0.006
79,416529.888083096,4.64528309547416e6,Fulton,Trenton,chicken,broiler_1,false,0.008
80,421074.725433318,4.63746696821343e6,Fulton,Providence,duck,organic,false,0.002
81,438714.640331164,4.64490206208457e6,Allegheny,Rockleigh,duck,conventional,false,0.0
82,432036.990283542,4.64044782116876e6,Fulton,Harding,duck,conventional,false,0.002
83,425182.554537924,4.66250628611953e6,Fulton,Newfield,chicken,broiler_1,false,0.008
84,420880.679877838,4.6527381623257e6,Fulton,Clifton,duck,conventional,false,0.002
85,426291.760030266,4.65860643601673e6,Fulton,Hawthorne,duck,conventional,false,0.0
86,426458.538756832,4.63938071830268e6,Fulton,Providence,duck,organic,false,0.0
87,417341.520252376,4.66113199768584e6,Fulton,Hightstown,chicken,broiler_2,false,0.012
88,428071.14733235,4.66538883574225e6,Fulton,Newfield,duck,conventional,false,0.002
89,426808.376195992,4.6605900494411e6,Fulton,Ocean,duck,conventional,false,0.0
90,409066.891935292,4.65784292005055e6,Fulton,Pleasantville,duck,conventional,false,0.0
91,440072.58067379,4.66279275425222e6,Allegheny,Aberdeen,chicken,broiler_1,false,0.006
