date,new_mean,new_median,new_q025,new_q975,cum_mean,cum_median,cum_q025,cum_q975,new_chicken_mean,new_duck_mean
2026-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-25,3.36,3.0,0.0,8.0,3.36,3.0,0.0,8.0,2.69,0.67
2026-01-26,3.18,3.0,0.0,8.0,6.54,6.0,2.0,13.0,2.57,0.62
2026-01-27,3.28,3.0,0.0,7.0,9.82,9.5,3.0,17.52,2.63,0.65
2026-01-28,3.06,3.0,0.0,8.0,12.88,12.0,5.48,22.52,2.43,0.63
2026-01-29,3.14,3.0,0.0,7.52,16.02,15.0,7.0,29.0,2.5,0.64
2026-01-30,2.95,3.0,0.0,7.0,18.97,18.0,8.0,33.0,2.37,0.58
2026-01-31,2.82,3.0,0.0,7.0,21.79,21.0,10.0,37.52,2.29,0.53
2026-02-01,2.76,2.0,0.0,7.0,24.55,24.0,12.0,43.0,2.19,0.57
2026-02-02,2.63,2.0,0.0,7.0,27.18,26.0,13.0,47.0,2.04,0.6
2026-02-03,2.65,2.0,0.0,7.0,29.82,29.0,14.0,51.52,2.07,0.58
2026-02-04,2.56,2.0,0.0,7.0,32.38,32.0,15.48,56.0,2.08,0.48
2026-02-05,2.48,2.0,0.0,7.0,34.86,34.0,16.48,60.52,1.99,0.49
2026-02-06,2.48,2.0,0.0,7.0,37.34,37.0,18.0,64.52,1.92,0.56
2026-02-07,2.21,2.0,0.0,6.0,39.55,39.0,19.0,69.0,1.74,0.46
2026-02-08,2.19,2.0,0.0,6.0,41.74,41.0,19.0,73.05,1.7,0.48
2026-02-09,2.12,2.0,0.0,6.0,43.86,43.0,21.0,75.52,1.69,0.44
2026-02-10,2.08,2.0,0.0,6.0,45.94,45.0,21.48,78.52,1.67,0.41
