farm_id,x,y,county,district,species,production,capacity,date_suspicious,date_confirmed,detection_method,cull_status
7659,443092.206048568,4.59975178716962e6,Susquehanna,Winfield,chicken,broiler_1,5184,2025-12-20,2025-12-22,passive,completed
4118,454974.821705599,4.54136825526148e6,Berks,Belleville,chicken,broiler_2,1910,2025-12-21,2025-12-25,passive,completed
5370,474365.700725534,4.70158657678871e6,Indiana,Corbin City,chicken,broiler_1,4116,2025-12-24,2025-12-25,preshipment,completed
5449,456205.277609198,4.56594064897748e6,Berks,Stow Creek,chicken,broiler_2,2996,2025-12-26,2025-12-28,passive,completed
6531,455769.197704016,4.70789829786713e6,Indiana,Brielle,chicken,broiler_2,4080,2025-12-24,2025-12-29,passive,completed
7657,489339.034198594,4.51024460371806e6,Luzerne,Hardyston,chicken,broiler_2,2711,2025-12-27,2025-12-29,passive,completed
2481,435394.083010975,4.55686966746459e6,Berks,Stratford,chicken,broiler_2,1000,2025-12-27,2025-12-31,passive,completed
5756,450025.286282359,4.70759940829413e6,Indiana,Little Ferry,chicken,broiler_2,2890,2025-12-30,2025-12-31,passive,completed
6371,486690.736597033,4.67622039785632e6,Allegheny,Peapack-Gladstone,chicken,broiler_2,3418,2025-12-29,2026-01-01,passive,completed
8955,458022.614095913,4.55979417128556e6,Berks,Barnegat Light,chicken,broiler_2,3741,2025-12-31,2026-01-01,passive,completed
2467,432955.832770631,4.54099930385644e6,Berks,Sayreville,chicken,broiler_2,1984,2025-12-31,2026-01-02,passive,completed
3178,434562.793103162,4.56317023681972e6,Susquehanna,Closter,chicken,broiler_1,4554,2026-01-01,2026-01-02,preshipment,completed
6290,463192.732018631,4.71114093085305e6,Indiana,Morristown,duck,organic,1232,2025-12-31,2026-01-02,passive,completed
6490,437729.352584943,4.59685583023113e6,Susquehanna,Fair Lawn,chicken,broiler_1,4580,2025-12-31,2026-01-02,passive,completed
2838,430615.677437974,4.5593233095898e6,Susquehanna,Lyndhurst,duck,organic,398,2026-01-01,2026-01-03,passive,completed
3857,447054.14446075,4.52967850713752e6,Berks,Belmar,chicken,broiler_2,2159,2025-12-29,2026-01-03,passive,completed
4848,444938.323564966,4.70261792248009e6,Lancaster,Norriton,chicken,broiler_2,1852,2026-01-02,2026-01-03,passive,completed
2667,430206.833830644,4.54501781842764e6,Berks,Liberty,chicken,broiler_1,4050,2026-01-03,2026-01-04,passive,completed
3526,453982.765418437,4.55137281705574e6,Berks,Port Matilda,duck,conventional,16088,2025-12-31,2026-01-04,passive,completed
3535,435261.967003111,4.5663978941619e6,Susquehanna,Closter,chicken,broiler_1,6606,2026-01-03,2026-01-04,preshipment,completed
3858,436185.1851745,4.56020865036699e6,Susquehanna,Closter,chicken,broiler_2,570,2026-01-03,2026-01-04,passive,completed
4229,452733.01927809,4.57643957413965e6,Susquehanna,Kingwood,chicken,broiler_2,2334,2026-01-01,2026-01-04,passive,completed
4595,453162.368538977,4.574753953941e6,Susquehanna,Kingwood,chicken,broiler_1,5864,2026-01-02,2026-01-04,passive,completed
6000,475170.837480021,4.70163703504385e6,Indiana,Corbin City,chicken,broiler_2,3947,2026-01-02,2026-01-04,passive,completed
1849,466467.671719534,4.68491830871217e6,Indiana,Wharton,chicken,broiler_2,2561,2026-01-03,2026-01-05,passive,completed
2376,424530.265192925,4.55800715534007e6,Susquehanna,Lyndhurst,chicken,broiler_2,2378,2026-01-03,2026-01-05,passive,completed
2447,442172.603810158,4.53218336063627e6,Berks,Arlington,chicken,broiler_1,5586,2026-01-04,2026-01-05,passive,completed
3079,428965.473065828,4.5472254622939e6,Berks,Tenafly,chicken,broiler_2,1553,2026-01-03,2026-01-05,passive,completed
3628,457507.813437913,4.53053714594794e6,Berks,Bayonne,chicken,broiler_2,2237,2026-01-02,2026-01-05,passive,completed
1633,454156.775449578,4.68969931515698e6,Lancaster,Branchville,chicken,broiler_2,1414,2026-01-02,2026-01-06,passive,completed
3722,446928.279554637,4.55378998959294e6,Berks,Pennsville,duck,organic,834,2026-01-04,2026-01-06,passive,completed
3805,445111.553968475,4.55906594357818e6,Berks,Berlin,chicken,broiler_2,1093,2026-01-05,2026-01-06,passive,completed
4885,449637.819918205,4.5721703932091e6,Susquehanna,Kingwood,chicken,broiler_2,542,2026-01-05,2026-01-06,passive,completed
5833,465741.949172122,4.71130460162087e6,Indiana,Morristown,chicken,broiler_2,3844,2026-01-05,2026-01-06,passive,completed
