county,district,n_farms,n_existing_cases,expected_new_cases,max_farm_risk,n_farms_at_risk
Berks,Port Matilda,50,1,1.11,0.056,48
Berks,Irvington,38,0,0.91,0.056,38
Luzerne,Fredon,53,0,0.87,0.062,50
Luzerne,Morrisville,40,0,0.83,0.048,39
Berks,Barnegat Light,39,1,0.8,0.052,37
Luzerne,Hardyston,42,1,0.73,0.042,39
Berks,Warwick,39,0,0.72,0.058,39
Berks,Warren,34,0,0.69,0.056,34
Luzerne,Pine Hill,41,0,0.61,0.058,35
Berks,Middlesex,20,0,0.57,0.05,20
Allegheny,Lacey,31,0,0.54,0.044,31
Indiana,Collingswood,24,0,0.46,0.04,24
Susquehanna,Cranford,28,0,0.45,0.046,27
Susquehanna,Beach Haven,17,0,0.44,0.05,17
Susquehanna,Amwell,20,0,0.43,0.052,20
Allegheny,Princeton,22,0,0.42,0.052,21
Luzerne,Medford,40,0,0.42,0.048,37
Susquehanna,Montague,17,0,0.42,0.048,16
Berks,Belmar,33,1,0.41,0.028,28
Allegheny,Union,27,0,0.41,0.048,26
Luzerne,Teaneck,27,3,0.41,0.048,23
Fulton,Secaucus,80,0,0.4,0.018,66
Allegheny,Burlington,20,0,0.4,0.042,18
Berks,Berlin,37,4,0.39,0.034,29
Allegheny,Toms River,39,0,0.38,0.056,33
Berks,Point Pleasant,43,0,0.36,0.05,38
Susquehanna,Moorestown,20,0,0.36,0.042,20
Indiana,Stafford,13,0,0.36,0.052,13
Indiana,Robbinsville,15,0,0.36,0.05,15
Allegheny,Spring Lake Heights,18,0,0.34,0.048,18
Allegheny,Oldmans,22,0,0.34,0.046,22
Allegheny,Orange Village,24,0,0.34,0.046,21
Allegheny,Durham,23,0,0.33,0.044,23
Luzerne,Paulsboro,47,0,0.33,0.016,41
Indiana,Clayton,15,0,0.32,0.048,15
Indiana,Lawrence,16,0,0.32,0.05,16
Allegheny,Orange,28,0,0.32,0.04,24
Fulton,Trenton,57,0,0.31,0.012,51
Allegheny,Marlborough,26,0,0.31,0.042,23
Berks,Jersey City,13,0,0.31,0.058,13
Allegheny,Cliffside Park,55,0,0.3,0.018,46
Indiana,Glen Gardner,12,0,0.3,0.048,12
Indiana,Sandyston,25,0,0.29,0.028,25
Berks,Merion,15,0,0.29,0.048,15
Allegheny,Harris,15,0,0.29,0.046,15
Fulton,Logan,75,0,0.29,0.018,61
Allegheny,Marion,33,0,0.28,0.044,28
Cumberland,Point Pleasant Beach,39,0,0.28,0.02,34
Susquehanna,Kingwood,24,4,0.27,0.028,17
Berks,Taylor,20,1,0.27,0.028,19
Allegheny,Colts Neck,22,1,0.27,0.032,19
Susquehanna,Lumberton,17,0,0.27,0.048,15
Berks,Bayonne,22,1,0.26,0.03,20
Indiana,Wharton,20,1,0.26,0.038,18
Fulton,Harding,61,0,0.26,0.022,48
Fulton,Pleasantville,47,0,0.25,0.014,39
Susquehanna,Sea Girt,13,0,0.25,0.042,12
Fulton,Newfield,59,0,0.25,0.016,48
Allegheny,Long Hill,34,0,0.25,0.042,30
Cumberland,Mount Olive,42,0,0.25,0.02,35
Indiana,Morristown,27,3,0.25,0.034,22
Lancaster,Maplewood,14,0,0.25,0.04,14
Indiana,Wall,17,1,0.25,0.038,15
Blair,Walpack,43,0,0.24,0.02,36
Indiana,Lakewood,21,0,0.24,0.036,18
Allegheny,Guttenberg,50,0,0.24,0.018,33
Fulton,Hightstown,48,0,0.24,0.012,40
Lancaster,Lansdale,64,0,0.24,0.014,47
Fulton,Ocean,57,0,0.24,0.016,44
Susquehanna,Flemington,14,0,0.23,0.04,14
Berks,Rutherford,16,0,0.23,0.036,14
Berks,Harrison,35,0,0.23,0.018,29
Allegheny,Fair Haven,15,0,0.23,0.044,14
Allegheny,Leonia,27,0,0.23,0.028,25
Fulton,Hawthorne,42,0,0.23,0.02,33
Allegheny,Aberdeen,70,0,0.23,0.016,49
Fulton,Linwood,48,0,0.22,0.024,39
Indiana,Fairview,14,0,0.22,0.044,14
Susquehanna,Closter,32,4,0.22,0.038,21
Allegheny,Brigantine,22,1,0.22,0.024,21
Indiana,Nockamixon,13,0,0.22,0.034,13
Allegheny,Farmingdale,14,0,0.21,0.032,13
Blair,Jefferson,37,0,0.21,0.016,29
Allegheny,Demarest,76,1,0.2,0.012,53
Susquehanna,Lyndhurst,64,6,0.2,0.014,40
Indiana,Corbin City,17,4,0.2,0.038,13
Blair,Quinton,46,0,0.2,0.02,37
Allegheny,Snow Shoe,12,0,0.2,0.058,12
Luzerne,Gwynedd,29,0,0.2,0.036,24
Cumberland,Wildwood Crest,40,0,0.19,0.016,32
Fulton,Washington,34,0,0.19,0.018,29
Indiana,Milford,9,0,0.19,0.044,8
Mifflin,Sussex,30,0,0.19,0.022,25
Indiana,Greenwich,14,0,0.19,0.03,13
Indiana,Wales,20,1,0.18,0.028,17
Luzerne,New Milford,34,0,0.18,0.014,31
Indiana,Allentown,7,0,0.18,0.038,7
Susquehanna,Unionville,9,0,0.18,0.044,9
Blair,Pottsgrove,26,0,0.18,0.016,20
Allegheny,Rockleigh,39,0,0.18,0.044,27
Fulton,Chesilhurst,22,0,0.18,0.046,17
Cumberland,Rumson,28,0,0.18,0.02,27
Blair,Branchburg,29,0,0.17,0.016,25
Susquehanna,Elizabeth,14,1,0.17,0.03,9
Fulton,Mine Hill,33,0,0.17,0.016,26
Indiana,Brielle,14,1,0.16,0.026,11
Susquehanna,Wrightstown,9,0,0.16,0.04,9
Indiana,Berkeley,10,0,0.16,0.044,10
Blair,Ho-Ho-Kus,28,0,0.16,0.016,23
Mercer,Lopatcong,29,0,0.16,0.018,22
Lancaster,Matawan,19,0,0.16,0.036,15
Susquehanna,Langhorne,9,0,0.16,0.05,8
Allegheny,Manville,8,0,0.16,0.046,7
Susquehanna,Mount Holly,15,1,0.16,0.032,12
Allegheny,Passaic,11,0,0.16,0.036,11
Mifflin,Hainesport,29,0,0.16,0.014,28
Susquehanna,Keansburg,12,1,0.16,0.036,11
Lancaster,Far Hills,32,0,0.16,0.016,26
Lycoming,Delran,19,0,0.16,0.014,19
Berks,Plainfield,29,0,0.16,0.018,22
Susquehanna,Pennsauken,11,0,0.16,0.048,10
Mifflin,Holland,19,0,0.16,0.014,19
Indiana,Stockton,16,1,0.15,0.024,14
Susquehanna,Northfield,6,0,0.15,0.048,6
Lancaster,Raritan,29,0,0.15,0.016,22
Venango,Totowa,23,0,0.15,0.016,19
Blair,Pompton Lakes,34,0,0.15,0.014,24
Fulton,Hulmeville,48,0,0.15,0.016,30
Mercer,Milltown,23,0,0.15,0.018,19
Indiana,Millburn,6,0,0.15,0.044,5
Venango,Montville,20,0,0.15,0.018,19
Allegheny,Peapack-Gladstone,18,2,0.15,0.028,14
Luzerne,Douglass,24,0,0.15,0.016,23
Cumberland,Philipsburg,19,0,0.14,0.018,17
Indiana,Neptune City,8,0,0.14,0.038,8
Mercer,Chalfont,25,0,0.14,0.018,22
Allegheny,Sea Isle City,3,0,0.14,0.054,3
Susquehanna,Galloway,15,1,0.14,0.028,13
Fulton,Mountain Lakes,30,0,0.14,0.014,23
Fulton,Amboy,25,0,0.14,0.016,20
Susquehanna,Stone Harbor,7,0,0.14,0.05,7
Mifflin,Long Branch,23,0,0.14,0.016,20
Susquehanna,Cape May Point,10,0,0.14,0.046,10
Mifflin,Oxford,33,0,0.14,0.018,20
Mifflin,Caldwell,21,0,0.13,0.018,19
Fulton,Dublin,30,0,0.13,0.014,24
Fulton,Roselle,30,0,0.13,0.012,23
Fulton,Providence,31,0,0.13,0.018,21
Indiana,Huston,5,0,0.13,0.042,5
Susquehanna,Parsippany-Troy Hills,16,0,0.13,0.024,13
Blair,Somerville,20,0,0.13,0.018,17
Fulton,Gloucester City,27,0,0.13,0.016,21
Lancaster,Riegelsville,24,0,0.13,0.018,19
Lycoming,Marlboro,25,0,0.13,0.014,23
Schuylkill,Audubon Park,25,0,0.13,0.014,20
Lycoming,Lindenwold,27,0,0.13,0.016,20
Luzerne,Cedar Grove,21,0,0.13,0.014,20
Indiana,Pilesgrove,10,0,0.13,0.038,10
Blair,Carlstadt,31,0,0.13,0.01,24
Cumberland,Interlaken,18,0,0.13,0.018,14
Blair,Vineland,21,0,0.13,0.026,16
Lancaster,Bloomingdale,20,0,0.13,0.018,17
Allegheny,Mountainside,12,0,0.13,0.026,12
Indiana,Beachwood,8,0,0.13,0.032,8
Fulton,Clifton,41,0,0.12,0.01,31
Berks,Elmer,30,0,0.12,0.014,24
Venango,Tewksbury,20,0,0.12,0.016,20
Berks,Manasquan,6,0,0.12,0.03,6
Mercer,Monmouth Beach,29,0,0.12,0.014,23
Lancaster,Tuckerton,28,0,0.12,0.014,21
Lancaster,Florence,27,0,0.12,0.016,19
Fulton,Rockaway,24,0,0.12,0.016,19
Mercer,Dunellen,20,0,0.12,0.016,17
Mercer,Metuchen,14,0,0.12,0.022,12
Schuylkill,Wanaque,20,0,0.12,0.02,19
Lancaster,Alloways Creek,27,0,0.12,0.016,20
