county,district,n_farms,n_existing_cases,expected_new_cases,max_farm_risk,n_farms_at_risk
Berks,Port Matilda,50,1,1.12,0.054,49
Berks,Irvington,38,0,0.86,0.056,36
Luzerne,Fredon,53,0,0.82,0.05,50
Luzerne,Morrisville,40,0,0.81,0.056,40
Berks,Barnegat Light,39,1,0.74,0.05,37
Berks,Warwick,39,0,0.73,0.056,38
Luzerne,Hardyston,42,1,0.71,0.042,41
Berks,Warren,34,0,0.68,0.054,33
Berks,Middlesex,20,0,0.62,0.052,20
Luzerne,Pine Hill,41,0,0.61,0.06,40
Allegheny,Lacey,31,0,0.55,0.046,30
Susquehanna,Cranford,28,0,0.48,0.052,28
Indiana,Collingswood,24,0,0.47,0.05,23
Luzerne,Teaneck,27,3,0.47,0.044,23
Allegheny,Princeton,22,0,0.46,0.056,22
Susquehanna,Montague,17,0,0.46,0.054,17
Allegheny,Durham,23,0,0.42,0.052,21
Allegheny,Orange Village,24,0,0.41,0.048,24
Susquehanna,Amwell,20,0,0.41,0.056,20
Fulton,Secaucus,80,0,0.41,0.02,67
Luzerne,Medford,40,0,0.4,0.042,37
Susquehanna,Beach Haven,17,0,0.4,0.052,17
Allegheny,Union,27,0,0.4,0.064,27
Berks,Point Pleasant,43,0,0.39,0.06,38
Berks,Belmar,33,1,0.38,0.036,30
Allegheny,Orange,28,0,0.37,0.05,27
Berks,Berlin,37,4,0.37,0.032,29
Indiana,Stafford,13,0,0.35,0.048,13
Indiana,Robbinsville,15,0,0.35,0.044,15
Allegheny,Burlington,20,0,0.34,0.052,18
Allegheny,Toms River,39,0,0.34,0.05,35
Luzerne,Paulsboro,47,0,0.34,0.022,41
Allegheny,Oldmans,22,0,0.33,0.042,22
Allegheny,Spring Lake Heights,18,0,0.33,0.044,18
Susquehanna,Kingwood,24,4,0.33,0.032,18
Berks,Jersey City,13,0,0.33,0.054,13
Fulton,Trenton,57,0,0.32,0.016,45
Allegheny,Marlborough,26,0,0.32,0.036,25
Indiana,Glen Gardner,12,0,0.31,0.044,12
Susquehanna,Moorestown,20,0,0.31,0.042,19
Indiana,Clayton,15,0,0.3,0.036,15
Fulton,Logan,75,0,0.3,0.018,54
Indiana,Sandyston,25,0,0.3,0.032,25
Susquehanna,Lumberton,17,0,0.29,0.042,15
Indiana,Lawrence,16,0,0.29,0.042,16
Berks,Bayonne,22,1,0.29,0.032,20
Allegheny,Harris,15,0,0.29,0.052,15
Indiana,Lakewood,21,0,0.28,0.04,19
Berks,Merion,15,0,0.28,0.046,15
Allegheny,Colts Neck,22,1,0.28,0.034,20
Berks,Taylor,20,1,0.27,0.032,19
Allegheny,Brigantine,22,1,0.27,0.03,21
Indiana,Wall,17,1,0.27,0.05,15
Allegheny,Marion,33,0,0.27,0.046,28
Indiana,Morristown,27,3,0.27,0.03,22
Susquehanna,Sea Girt,13,0,0.26,0.04,13
Allegheny,Cliffside Park,55,0,0.26,0.016,44
Indiana,Wharton,20,1,0.26,0.03,18
Cumberland,Point Pleasant Beach,39,0,0.26,0.022,34
Blair,Walpack,43,0,0.25,0.018,39
Allegheny,Demarest,76,1,0.25,0.014,55
Allegheny,Fair Haven,15,0,0.25,0.042,15
Fulton,Newfield,59,0,0.24,0.02,44
Fulton,Ocean,57,0,0.24,0.018,47
Indiana,Fairview,14,0,0.24,0.042,14
Susquehanna,Flemington,14,0,0.24,0.042,14
Fulton,Linwood,48,0,0.23,0.012,38
Fulton,Hawthorne,42,0,0.23,0.02,30
Lancaster,Maplewood,14,0,0.23,0.034,14
Fulton,Pleasantville,47,0,0.23,0.016,36
Fulton,Harding,61,0,0.22,0.02,44
Berks,Harrison,35,0,0.22,0.016,30
Allegheny,Leonia,27,0,0.22,0.024,27
Cumberland,Wildwood Crest,40,0,0.22,0.016,33
Lancaster,Lansdale,64,0,0.22,0.014,37
Berks,Rutherford,16,0,0.22,0.03,16
Allegheny,Manville,8,0,0.22,0.052,8
Blair,Jefferson,37,0,0.22,0.016,30
Cumberland,Mount Olive,42,0,0.22,0.014,32
Susquehanna,Keansburg,12,1,0.21,0.034,11
Blair,Quinton,46,0,0.21,0.014,34
Indiana,Corbin City,17,4,0.21,0.04,13
Susquehanna,Closter,32,4,0.21,0.03,19
Allegheny,Aberdeen,70,0,0.21,0.01,48
Indiana,Milford,9,0,0.21,0.058,9
Indiana,Allentown,7,0,0.21,0.054,7
Luzerne,Gwynedd,29,0,0.21,0.044,26
Allegheny,Long Hill,34,0,0.2,0.036,27
Lancaster,Far Hills,32,0,0.2,0.014,28
Blair,Branchburg,29,0,0.19,0.018,25
Allegheny,Guttenberg,50,0,0.19,0.014,35
Fulton,Hightstown,48,0,0.19,0.012,34
Allegheny,Farmingdale,14,0,0.19,0.032,14
Susquehanna,Lyndhurst,64,6,0.18,0.012,41
Susquehanna,Cape May Point,10,0,0.18,0.056,9
Indiana,Brielle,14,1,0.18,0.028,12
Indiana,Wales,20,1,0.18,0.024,17
Allegheny,Rockleigh,39,0,0.18,0.02,32
Fulton,Washington,34,0,0.18,0.016,28
Cumberland,Rumson,28,0,0.17,0.018,26
Indiana,Greenwich,14,0,0.17,0.028,13
Fulton,Clifton,41,0,0.17,0.014,30
Susquehanna,Wrightstown,9,0,0.17,0.04,9
Indiana,Nockamixon,13,0,0.17,0.032,13
Susquehanna,Elizabeth,14,1,0.17,0.028,10
Allegheny,Snow Shoe,12,0,0.17,0.032,11
Luzerne,New Milford,34,0,0.17,0.014,29
Mercer,Monmouth Beach,29,0,0.17,0.02,25
Mifflin,Sussex,30,0,0.17,0.014,24
Susquehanna,Langhorne,9,0,0.17,0.036,9
Susquehanna,Unionville,9,0,0.17,0.05,9
Blair,Pottsgrove,26,0,0.17,0.016,23
Susquehanna,Parsippany-Troy Hills,16,0,0.17,0.042,12
Susquehanna,Pennsauken,11,0,0.16,0.046,11
Fulton,Chesilhurst,22,0,0.16,0.034,18
Berks,Plainfield,29,0,0.16,0.018,24
Indiana,Berkeley,10,0,0.16,0.044,10
Lancaster,Matawan,19,0,0.16,0.044,15
Susquehanna,Northfield,6,0,0.16,0.05,6
Susquehanna,Stone Harbor,7,0,0.16,0.054,7
Fulton,Dublin,30,0,0.16,0.018,24
Fulton,Lincoln Park,28,0,0.16,0.016,23
Lancaster,Tuckerton,28,0,0.16,0.016,24
Lancaster,Raritan,29,0,0.15,0.016,24
Mifflin,Caldwell,21,0,0.15,0.016,19
Indiana,Neptune City,8,0,0.15,0.044,8
Susquehanna,Surf City,7,0,0.15,0.05,7
Mifflin,Hainesport,29,0,0.15,0.018,26
Mifflin,Long Branch,23,0,0.15,0.014,20
Fulton,Mountain Lakes,30,0,0.15,0.02,27
Lycoming,Delran,19,0,0.15,0.02,17
Indiana,Millburn,6,0,0.15,0.044,6
Allegheny,Peapack-Gladstone,18,2,0.15,0.028,14
Mifflin,Oxford,33,0,0.15,0.014,26
Mercer,Lopatcong,29,0,0.15,0.018,24
Indiana,Stockton,16,1,0.15,0.026,14
Susquehanna,Mount Holly,15,1,0.15,0.028,11
Lycoming,Marlboro,25,0,0.15,0.014,20
Blair,Ho-Ho-Kus,28,0,0.14,0.022,21
Blair,Carlstadt,31,0,0.14,0.014,24
Luzerne,Douglass,24,0,0.14,0.014,20
Fulton,Gloucester City,27,0,0.14,0.02,20
Blair,Butler,26,0,0.14,0.018,23
Fulton,Roselle,30,0,0.14,0.018,25
Cumberland,Hackensack,21,0,0.14,0.022,15
Venango,Tewksbury,20,0,0.14,0.024,18
Allegheny,Passaic,11,0,0.14,0.024,9
Susquehanna,Tinicum,5,0,0.14,0.058,5
Fulton,Hulmeville,48,0,0.13,0.012,35
Luzerne,Cedar Grove,21,0,0.13,0.02,17
Indiana,Bryn Athyn,13,1,0.13,0.034,9
Fulton,Mine Hill,33,0,0.13,0.014,24
Blair,Woodbury,21,0,0.13,0.022,16
Indiana,Pilesgrove,10,0,0.13,0.036,10
Mercer,Chalfont,25,0,0.13,0.016,20
Lancaster,Bloomingdale,20,0,0.13,0.02,13
Fulton,Providence,31,0,0.13,0.012,22
Fulton,Verona,21,0,0.13,0.014,17
Berks,Woodbridge,9,0,0.13,0.028,9
Allegheny,Sea Isle City,3,0,0.13,0.048,3
Berks,Manasquan,6,0,0.13,0.034,6
Blair,Pompton Lakes,34,0,0.12,0.016,24
Luzerne,Haworth,24,0,0.12,0.016,20
Cumberland,Hammonton,41,1,0.12,0.014,28
Fulton,Amboy,25,0,0.12,0.014,22
Lancaster,Florence,27,0,0.12,0.014,21
Schuylkill,Audubon Park,25,0,0.12,0.018,21
Cumberland,Alexandria,23,0,0.12,0.016,21
Lancaster,Alloways Creek,27,0,0.12,0.034,19
Cumberland,Estell Manor,26,0,0.12,0.018,20
Schuylkill,Glassboro,21,0,0.12,0.02,17
Indiana,Boonton,10,0,0.12,0.028,10
Fulton,Rockaway,24,0,0.12,0.016,21
Cumberland,Longport,19,0,0.12,0.018,15
Mercer,Milltown,23,0,0.12,0.012,19
Schuylkill,Kenilworth,18,0,0.12,0.024,12
Lancaster,Branchville,30,1,0.12,0.026,19
Venango,Port Republic,16,0,0.12,0.014,15
Indiana,Huston,5,0,0.12,0.05,5
