date,new_mean,new_median,new_q025,new_q975,cum_mean,cum_median,cum_q025,cum_q975,new_chicken_mean,new_duck_mean
2026-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-25,6.19,6.0,2.0,12.0,6.19,6.0,2.0,12.0,4.98,1.21
2026-01-26,4.36,4.0,1.0,9.0,10.55,10.0,4.0,18.0,3.54,0.82
2026-01-27,3.76,4.0,0.0,8.52,14.31,14.0,6.48,23.0,2.99,0.77
2026-01-28,4.04,4.0,1.0,8.0,18.35,18.0,9.0,29.0,3.21,0.83
2026-01-29,4.26,4.0,1.0,9.0,22.6,22.0,12.0,36.52,3.45,0.8
2026-01-30,4.64,5.0,1.0,10.0,27.24,27.0,14.0,44.0,3.72,0.92
2026-01-31,5.1,5.0,1.0,11.0,32.35,32.0,17.48,52.05,4.06,1.04
2026-02-01,5.53,5.0,1.0,12.0,37.87,37.0,19.48,62.52,4.41,1.12
2026-02-02,5.98,6.0,1.0,13.0,43.86,43.0,23.48,70.0,4.76,1.23
2026-02-03,6.41,6.0,1.0,13.0,50.27,49.0,27.0,82.05,5.06,1.36
2026-02-04,6.84,7.0,2.0,15.0,57.11,55.0,30.0,94.57,5.4,1.43
2026-02-05,7.49,7.0,2.0,15.52,64.6,62.5,35.0,106.52,5.89,1.61
2026-02-06,7.88,7.0,2.0,17.0,72.48,70.0,38.0,121.0,6.28,1.6
2026-02-07,8.43,8.0,2.0,18.0,80.92,78.0,41.47,135.0,6.61,1.83
2026-02-08,8.39,8.0,2.0,18.0,89.31,86.0,45.47,147.0,6.58,1.81
2026-02-09,8.68,8.0,2.0,18.0,97.99,95.0,50.0,160.62,6.79,1.88
2026-02-10,9.09,8.0,2.0,19.0,107.08,103.0,54.42,178.05,7.13,1.96
