date,broiler_1,broiler_2,layer,conventional,organic,total
2025-12-22,1,0,0,0,0,1
2025-12-23,0,0,0,0,0,0
2025-12-24,0,0,0,0,0,0
2025-12-25,1,1,0,0,0,2
2025-12-26,0,0,0,0,0,0
2025-12-27,0,0,0,0,0,0
2025-12-28,0,1,0,0,0,1
2025-12-29,0,2,0,0,0,2
2025-12-30,0,0,0,0,0,0
2025-12-31,0,2,0,0,0,2
2026-01-01,0,2,0,0,0,2
2026-01-02,2,1,0,0,1,4
2026-01-03,0,2,0,0,1,3
2026-01-04,3,3,0,1,0,7
2026-01-05,1,4,0,0,0,5
2026-01-06,0,6,0,0,2,8
2026-01-07,1,5,1,0,1,8
2026-01-08,1,1,0,1,0,3
2026-01-09,2,1,0,3,0,6
2026-01-10,2,4,0,1,1,8
2026-01-11,1,4,2,2,1,10
2026-01-12,2,10,3,1,1,17
2026-01-13,1,7,1,2,3,14
