date,new_mean,new_median,new_q025,new_q975,cum_mean,cum_median,cum_q025,cum_q975,new_chicken_mean,new_duck_mean
2026-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-25,3.4,3.0,0.0,7.0,3.4,3.0,0.0,7.0,2.68,0.72
2026-01-26,3.18,3.0,0.0,8.0,6.58,6.0,2.0,13.0,2.53,0.65
2026-01-27,3.13,3.0,0.0,7.52,9.72,9.0,3.0,18.0,2.53,0.6
2026-01-28,3.02,3.0,0.0,7.0,12.73,12.0,5.0,23.0,2.39,0.63
2026-01-29,3.07,3.0,0.0,7.0,15.8,15.0,7.0,28.0,2.46,0.61
2026-01-30,2.81,3.0,0.0,7.0,18.61,18.0,9.0,32.52,2.22,0.59
2026-01-31,2.83,3.0,0.0,8.0,21.44,20.0,10.0,37.0,2.27,0.55
2026-02-01,2.67,2.0,0.0,7.0,24.11,23.0,12.0,41.0,2.15,0.52
2026-02-02,2.68,2.0,0.0,6.0,26.79,26.0,13.0,46.0,2.15,0.53
2026-02-03,2.69,2.0,0.0,7.0,29.49,28.5,15.0,49.52,2.16,0.54
2026-02-04,2.59,2.0,0.0,6.0,32.08,31.0,15.48,55.0,2.05,0.54
2026-02-05,2.54,2.0,0.0,7.0,34.62,33.5,16.48,60.52,1.95,0.59
2026-02-06,2.38,2.0,0.0,6.0,37.0,36.0,18.0,64.0,1.88,0.5
2026-02-07,2.43,2.0,0.0,7.0,39.43,38.0,19.0,68.52,1.98,0.45
2026-02-08,2.23,2.0,0.0,7.0,41.66,40.0,20.0,72.0,1.77,0.47
2026-02-09,2.12,2.0,0.0,6.0,43.78,43.0,21.48,75.52,1.69,0.43
2026-02-10,2.21,2.0,0.0,6.52,45.99,45.0,22.0,79.0,1.73,0.48
