trajectory,date,new_confirmed,cum_new_confirmed,new_chicken,new_duck,new_broiler_1,new_broiler_2,new_conventional,new_layer,new_organic
1,2026-01-14,0,0,0,0,0,0,0,0,0
1,2026-01-15,0,0,0,0,0,0,0,0,0
1,2026-01-16,0,0,0,0,0,0,0,0,0
1,2026-01-17,0,0,0,0,0,0,0,0,0
1,2026-01-18,0,0,0,0,0,0,0,0,0
1,2026-01-19,0,0,0,0,0,0,0,0,0
1,2026-01-20,0,0,0,0,0,0,0,0,0
1,2026-01-21,0,0,0,0,0,0,0,0,0
1,2026-01-22,0,0,0,0,0,0,0,0,0
1,2026-01-23,0,0,0,0,0,0,0,0,0
1,2026-01-24,0,0,0,0,0,0,0,0,0
1,2026-01-25,5,5,4,1,2,2,1,0,0
1,2026-01-26,4,9,4,0,2,1,0,1,0
1,2026-01-27,5,14,4,1,1,2,1,1,0
1,2026-01-28,2,16,1,1,0,1,1,0,0
1,2026-01-29,2,18,1,1,0,1,1,0,0
1,2026-01-30,5,23,4,1,1,3,1,0,0
1,2026-01-31,3,26,3,0,1,2,0,0,0
1,2026-02-01,3,29,3,0,2,1,0,0,0
1,2026-02-02,1,30,0,1,0,0,1,0,0
1,2026-02-03,1,31,1,0,0,1,0,0,0
1,2026-02-04,1,32,0,1,0,0,1,0,0
1,2026-02-05,3,35,2,1,0,1,1,1,0
1,2026-02-06,0,35,0,0,0,0,0,0,0
1,2026-02-07,0,35,0,0,0,0,0,0,0
1,2026-02-08,1,36,1,0,0,1,0,0,0
1,2026-02-09,1,37,1,0,1,0,0,0,0
1,2026-02-10,2,39,2,0,0,1,0,1,0
2,2026-01-14,0,0,0,0,0,0,0,0,0
2,2026-01-15,0,0,0,0,0,0,0,0,0
2,2026-01-16,0,0,0,0,0,0,0,0,0
2,2026-01-17,0,0,0,0,0,0,0,0,0
2,2026-01-18,0,0,0,0,0,0,0,0,0
2,2026-01-19,0,0,0,0,0,0,0,0,0
2,2026-01-20,0,0,0,0,0,0,0,0,0
2,2026-01-21,0,0,0,0,0,0,0,0,0
2,2026-01-22,0,0,0,0,0,0,0,0,0
2,2026-01-23,0,0,0,0,0,0,0,0,0
2,2026-01-24,0,0,0,0,0,0,0,0,0
2,2026-01-25,2,2,1,1,0,1,1,0,0
2,2026-01-26,2,4,2,0,0,2,0,0,0
2,2026-01-27,1,5,0,1,0,0,1,0,0
2,2026-01-28,2,7,2,0,2,0,0,0,0
2,2026-01-29,2,9,2,0,1,1,0,0,0
2,2026-01-30,5,14,4,1,1,3,1,0,0
2,2026-01-31,5,19,4,1,1,1,1,2,0
2,2026-02-01,4,23,2,2,0,1,0,1,2
2,2026-02-02,4,27,4,0,0,2,0,2,0
2,2026-02-03,3,30,3,0,1,2,0,0,0
2,2026-02-04,1,31,0,1,0,0,0,0,1
2,2026-02-05,4,35,4,0,3,1,0,0,0
2,2026-02-06,1,36,1,0,0,1,0,0,0
2,2026-02-07,0,36,0,0,0,0,0,0,0
2,2026-02-08,1,37,1,0,0,0,0,1,0
2,2026-02-09,1,38,1,0,1,0,0,0,0
2,2026-02-10,4,42,4,0,1,2,0,1,0
3,2026-01-14,0,0,0,0,0,0,0,0,0
3,2026-01-15,0,0,0,0,0,0,0,0,0
3,2026-01-16,0,0,0,0,0,0,0,0,0
3,2026-01-17,0,0,0,0,0,0,0,0,0
3,2026-01-18,0,0,0,0,0,0,0,0,0
3,2026-01-19,0,0,0,0,0,0,0,0,0
3,2026-01-20,0,0,0,0,0,0,0,0,0
3,2026-01-21,0,0,0,0,0,0,0,0,0
3,2026-01-22,0,0,0,0,0,0,0,0,0
3,2026-01-23,0,0,0,0,0,0,0,0,0
3,2026-01-24,0,0,0,0,0,0,0,0,0
3,2026-01-25,4,4,4,0,2,2,0,0,0
3,2026-01-26,4,8,4,0,1,2,0,1,0
3,2026-01-27,9,17,7,2,1,6,2,0,0
3,2026-01-28,2,19,2,0,1,0,0,1,0
3,2026-01-29,5,24,4,1,0,3,0,1,1
3,2026-01-30,5,29,4,1,1,2,1,1,0
3,2026-01-31,6,35,5,1,2,3,1,0,0
3,2026-02-01,2,37,2,0,1,1,0,0,0
3,2026-02-02,4,41,2,2,1,1,2,0,0
3,2026-02-03,3,44,1,2,0,1,2,0,0
3,2026-02-04,4,48,4,0,1,3,0,0,0
