county,district,n_farms,n_existing_cases,expected_new_cases,max_farm_risk,n_farms_at_risk
Fulton,Secaucus,80,0,3.05,0.092,80
Fulton,Trenton,57,0,3.03,0.108,57
Fulton,Newfield,59,0,2.72,0.102,59
Fulton,Linwood,48,0,2.63,0.11,48
Fulton,Ocean,57,0,2.48,0.106,57
Fulton,Pleasantville,47,0,2.47,0.124,47
Fulton,Hawthorne,42,0,2.42,0.106,42
Fulton,Logan,75,0,2.38,0.088,75
Fulton,Harding,61,0,2.32,0.09,61
Allegheny,Cliffside Park,55,0,2.25,0.098,55
Fulton,Hightstown,48,0,2.16,0.118,48
Allegheny,Demarest,76,1,2.08,0.076,74
Allegheny,Aberdeen,70,0,2.0,0.082,70
Fulton,Clifton,41,0,1.98,0.112,41
Berks,Port Matilda,50,1,1.97,0.09,49
Cumberland,Mount Olive,42,0,1.93,0.096,42
Luzerne,Fredon,53,0,1.8,0.078,53
Luzerne,Morrisville,40,0,1.79,0.102,40
Cumberland,Wildwood Crest,40,0,1.79,0.09,40
Susquehanna,Lyndhurst,64,6,1.78,0.062,58
Berks,Warwick,39,0,1.69,0.094,39
Allegheny,Guttenberg,50,0,1.69,0.086,50
Berks,Irvington,38,0,1.63,0.086,38
Fulton,Washington,34,0,1.61,0.104,34
Berks,Point Pleasant,43,0,1.57,0.086,43
Allegheny,Rockleigh,39,0,1.53,0.106,39
Blair,Walpack,43,0,1.52,0.08,43
Fulton,Hulmeville,48,0,1.49,0.094,48
Lancaster,Lansdale,64,0,1.48,0.068,64
Cumberland,Point Pleasant Beach,39,0,1.4,0.062,39
Fulton,Roselle,30,0,1.4,0.108,30
Fulton,Dublin,30,0,1.39,0.11,30
Allegheny,Toms River,39,0,1.37,0.086,39
Berks,Belmar,33,1,1.37,0.076,31
Fulton,Providence,31,0,1.36,0.09,31
Luzerne,Hardyston,42,1,1.35,0.076,41
Blair,Quinton,46,0,1.32,0.068,46
Berks,Barnegat Light,39,1,1.28,0.078,38
Berks,Elmer,30,0,1.26,0.102,30
Allegheny,Princeton,22,0,1.26,0.132,22
Allegheny,Marion,33,0,1.17,0.118,33
Allegheny,Union,27,0,1.17,0.104,27
Fulton,Lincoln Park,28,0,1.16,0.086,28
Luzerne,Pine Hill,41,0,1.16,0.092,41
Berks,Little Falls,40,0,1.14,0.066,40
Berks,Arlington,37,3,1.14,0.078,33
Fulton,Rockaway,24,0,1.12,0.102,24
Allegheny,Durham,23,0,1.11,0.124,23
Berks,Berlin,37,4,1.09,0.066,32
Berks,Liberty,38,4,1.07,0.064,29
Cumberland,Mendham,35,0,1.07,0.058,35
Allegheny,Lacey,31,0,1.06,0.09,31
Berks,Middlesex,20,0,1.06,0.078,20
Blair,Carlstadt,31,0,1.05,0.068,31
Cumberland,Harvey Cedars,30,0,1.05,0.068,30
Berks,Warren,34,0,1.05,0.078,34
Allegheny,Long Hill,34,0,1.04,0.092,34
Susquehanna,Amwell,20,0,1.04,0.11,20
