date,n_total,n_chicken,n_duck,cum_total,cum_chicken,cum_duck
2025-12-22,1,1,0,1,1,0
2025-12-23,0,0,0,1,1,0
2025-12-24,0,0,0,1,1,0
2025-12-25,2,2,0,3,3,0
2025-12-26,0,0,0,3,3,0
2025-12-27,0,0,0,3,3,0
2025-12-28,1,1,0,4,4,0
2025-12-29,2,2,0,6,6,0
2025-12-30,0,0,0,6,6,0
2025-12-31,2,2,0,8,8,0
2026-01-01,2,2,0,10,10,0
2026-01-02,4,3,1,14,13,1
2026-01-03,3,2,1,17,15,2
2026-01-04,7,6,1,24,21,3
2026-01-05,5,5,0,29,26,3
2026-01-06,8,6,2,37,32,5
2026-01-07,8,7,1,45,39,6
2026-01-08,3,2,1,48,41,7
2026-01-09,6,3,3,54,44,10
2026-01-10,8,6,2,62,50,12
2026-01-11,10,7,3,72,57,15
2026-01-12,17,15,2,89,72,17
2026-01-13,14,9,5,103,81,22
