county,district,n_farms,n_existing_cases,expected_new_cases,max_farm_risk,n_farms_at_risk
Berks,Port Matilda,50,1,1.1,0.052,49
Luzerne,Morrisville,40,0,0.96,0.058,40
Berks,Irvington,38,0,0.89,0.058,38
Luzerne,Fredon,53,0,0.85,0.044,51
Berks,Barnegat Light,39,1,0.8,0.05,38
Berks,Warwick,39,0,0.75,0.044,38
Luzerne,Hardyston,42,1,0.69,0.038,41
Berks,Warren,34,0,0.66,0.048,34
Berks,Middlesex,20,0,0.63,0.052,20
Allegheny,Lacey,31,0,0.58,0.048,31
Luzerne,Pine Hill,41,0,0.5,0.046,33
Susquehanna,Montague,17,0,0.5,0.054,17
Susquehanna,Beach Haven,17,0,0.47,0.054,17
Susquehanna,Cranford,28,0,0.46,0.05,28
Allegheny,Princeton,22,0,0.44,0.05,22
Allegheny,Union,27,0,0.43,0.062,27
Susquehanna,Amwell,20,0,0.4,0.042,20
Allegheny,Orange Village,24,0,0.4,0.044,22
Luzerne,Teaneck,27,3,0.4,0.056,21
Indiana,Collingswood,24,0,0.4,0.05,24
Berks,Belmar,33,1,0.39,0.036,28
Allegheny,Toms River,39,0,0.39,0.046,32
Luzerne,Medford,40,0,0.38,0.044,36
Fulton,Secaucus,80,0,0.38,0.018,57
Allegheny,Durham,23,0,0.37,0.046,22
Allegheny,Orange,28,0,0.37,0.044,28
Berks,Berlin,37,4,0.37,0.028,28
Allegheny,Burlington,20,0,0.37,0.05,20
Indiana,Robbinsville,15,0,0.36,0.042,15
Allegheny,Harris,15,0,0.34,0.074,14
Indiana,Stafford,13,0,0.34,0.046,13
Fulton,Trenton,57,0,0.33,0.022,50
Berks,Point Pleasant,43,0,0.33,0.048,41
Indiana,Clayton,15,0,0.33,0.054,15
Allegheny,Marlborough,26,0,0.33,0.044,25
Susquehanna,Moorestown,20,0,0.32,0.04,20
Indiana,Lawrence,16,0,0.32,0.058,15
Allegheny,Spring Lake Heights,18,0,0.31,0.044,17
Berks,Jersey City,13,0,0.31,0.042,13
Luzerne,Paulsboro,47,0,0.31,0.018,41
Susquehanna,Kingwood,24,4,0.3,0.032,17
Indiana,Wall,17,1,0.29,0.05,16
Lancaster,Lansdale,64,0,0.29,0.016,49
Berks,Taylor,20,1,0.29,0.036,19
Susquehanna,Lumberton,17,0,0.29,0.05,14
Indiana,Glen Gardner,12,0,0.28,0.04,12
Allegheny,Brigantine,22,1,0.28,0.036,20
Susquehanna,Flemington,14,0,0.28,0.046,14
Berks,Merion,15,0,0.28,0.046,15
Fulton,Logan,75,0,0.27,0.014,50
Allegheny,Cliffside Park,55,0,0.26,0.02,42
Fulton,Pleasantville,47,0,0.26,0.018,40
Indiana,Fairview,14,0,0.26,0.042,13
Susquehanna,Sea Girt,13,0,0.26,0.052,13
Allegheny,Oldmans,22,0,0.26,0.038,19
Berks,Bayonne,22,1,0.26,0.032,21
Indiana,Sandyston,25,0,0.26,0.028,25
Fulton,Harding,61,0,0.25,0.016,48
Fulton,Newfield,59,0,0.25,0.016,45
Cumberland,Point Pleasant Beach,39,0,0.25,0.016,33
Allegheny,Guttenberg,50,0,0.25,0.018,35
Blair,Walpack,43,0,0.25,0.016,38
Allegheny,Marion,33,0,0.24,0.034,29
Indiana,Wharton,20,1,0.24,0.028,18
Allegheny,Colts Neck,22,1,0.24,0.03,20
Allegheny,Fair Haven,15,0,0.24,0.044,15
Lancaster,Maplewood,14,0,0.23,0.042,14
Allegheny,Rockleigh,39,0,0.23,0.042,32
Berks,Rutherford,16,0,0.23,0.028,16
Allegheny,Leonia,27,0,0.23,0.03,25
Allegheny,Long Hill,34,0,0.22,0.052,24
Fulton,Linwood,48,0,0.22,0.016,39
Indiana,Morristown,27,3,0.22,0.026,23
Cumberland,Wildwood Crest,40,0,0.22,0.016,34
Susquehanna,Closter,32,4,0.22,0.038,20
Allegheny,Demarest,76,1,0.22,0.014,47
Indiana,Lakewood,21,0,0.22,0.03,17
Luzerne,Gwynedd,29,0,0.21,0.034,27
Indiana,Brielle,14,1,0.21,0.034,11
Indiana,Berkeley,10,0,0.21,0.046,10
Luzerne,New Milford,34,0,0.21,0.014,31
Allegheny,Aberdeen,70,0,0.21,0.012,50
Fulton,Hightstown,48,0,0.21,0.022,32
Fulton,Hawthorne,42,0,0.2,0.014,34
Blair,Jefferson,37,0,0.2,0.014,32
Susquehanna,Pennsauken,11,0,0.2,0.052,11
Indiana,Nockamixon,13,0,0.2,0.032,13
Blair,Quinton,46,0,0.19,0.014,34
Fulton,Ocean,57,0,0.19,0.012,42
Cumberland,Mount Olive,42,0,0.19,0.016,31
Indiana,Allentown,7,0,0.19,0.038,7
Berks,Harrison,35,0,0.19,0.016,29
Indiana,Wales,20,1,0.19,0.028,19
Indiana,Corbin City,17,4,0.19,0.038,12
Susquehanna,Langhorne,9,0,0.19,0.052,9
Fulton,Chesilhurst,22,0,0.19,0.044,16
Fulton,Washington,34,0,0.18,0.016,28
Mercer,Lopatcong,29,0,0.18,0.026,26
Susquehanna,Keansburg,12,1,0.18,0.038,11
Fulton,Hulmeville,48,0,0.18,0.016,33
Venango,Tewksbury,20,0,0.18,0.018,18
Lancaster,Matawan,19,0,0.18,0.036,17
Indiana,Milford,9,0,0.17,0.042,7
Blair,Branchburg,29,0,0.17,0.018,24
Allegheny,Farmingdale,14,0,0.17,0.028,13
Susquehanna,Wrightstown,9,0,0.17,0.04,9
Allegheny,Manville,8,0,0.17,0.042,8
Allegheny,Snow Shoe,12,0,0.17,0.032,12
Susquehanna,Mount Holly,15,1,0.17,0.028,11
Lancaster,Far Hills,32,0,0.16,0.014,29
Fulton,Mine Hill,33,0,0.16,0.016,25
Fulton,Providence,31,0,0.16,0.016,29
Indiana,Greenwich,14,0,0.16,0.034,12
Indiana,Stockton,16,1,0.16,0.024,13
Susquehanna,Stone Harbor,7,0,0.16,0.052,7
Blair,Carlstadt,31,0,0.16,0.016,27
