date,new_mean,new_median,new_q025,new_q975,cum_mean,cum_median,cum_q025,cum_q975,new_chicken_mean,new_duck_mean
2026-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-25,3.24,3.0,0.0,7.52,3.24,3.0,0.0,7.52,2.58,0.66
2026-01-26,3.32,3.0,0.0,8.0,6.56,6.0,2.0,13.0,2.65,0.67
2026-01-27,3.17,3.0,0.0,8.0,9.73,9.0,4.0,18.52,2.56,0.61
2026-01-28,3.06,3.0,0.0,7.0,12.79,12.0,5.0,23.0,2.42,0.64
2026-01-29,3.03,3.0,0.0,7.0,15.82,15.0,6.48,28.0,2.42,0.62
2026-01-30,2.97,3.0,0.0,7.52,18.79,18.0,8.0,32.52,2.33,0.64
2026-01-31,2.8,3.0,0.0,7.0,21.59,21.0,10.0,37.0,2.22,0.58
2026-02-01,2.78,2.0,0.0,7.0,24.37,24.0,11.0,43.0,2.23,0.55
2026-02-02,2.72,2.5,0.0,6.0,27.1,26.0,12.48,47.52,2.14,0.58
2026-02-03,2.68,2.0,0.0,7.0,29.78,29.0,14.0,52.0,2.13,0.56
2026-02-04,2.68,2.0,0.0,7.0,32.46,31.0,15.0,56.52,2.13,0.55
2026-02-05,2.42,2.0,0.0,6.0,34.87,34.0,17.0,60.0,1.9,0.51
2026-02-06,2.42,2.0,0.0,6.0,37.29,36.0,17.48,65.0,1.89,0.53
2026-02-07,2.29,2.0,0.0,6.0,39.58,38.0,18.0,69.0,1.77,0.52
2026-02-08,2.18,2.0,0.0,6.0,41.76,40.0,19.0,72.57,1.76,0.42
2026-02-09,2.13,2.0,0.0,6.0,43.89,42.0,20.0,75.52,1.72,0.41
2026-02-10,1.99,2.0,0.0,6.0,45.88,44.0,21.0,80.52,1.64,0.35
