β_duck,chicken_susceptibility_share,duck_susceptibility_share,implied_chicken_rr
0.2499,0.7898,0.2102,4.0
0.253,0.7877,0.2123,3.95
0.2072,0.8191,0.1809,4.83
0.1502,0.8621,0.1379,6.66
0.2198,0.8102,0.1898,4.55
0.2512,0.7889,0.2111,3.98
0.1618,0.8529,0.1471,6.18
0.2538,0.7872,0.2128,3.94
0.153,0.8598,0.1402,6.53
0.2572,0.7849,0.2151,3.89
0.1618,0.853,0.147,6.18
0.2905,0.7636,0.2364,3.44
0.3331,0.7381,0.2619,3.0
0.2362,0.799,0.201,4.23
0.2939,0.7616,0.2384,3.4
0.2881,0.7652,0.2348,3.47
0.2395,0.7967,0.2033,4.17
0.268,0.7779,0.2221,3.73
0.2779,0.7716,0.2284,3.6
0.1938,0.8289,0.1711,5.16
0.1869,0.8339,0.1661,5.35
0.1953,0.8278,0.1722,5.12
0.1935,0.8291,0.1709,5.17
0.1944,0.8284,0.1716,5.14
0.3208,0.7453,0.2547,3.12
0.1618,0.853,0.147,6.18
0.2646,0.7801,0.2199,3.78
0.2063,0.8198,0.1802,4.85
0.2455,0.7927,0.2073,4.07
0.2042,0.8213,0.1787,4.9
0.2381,0.7977,0.2023,4.2
0.329,0.7405,0.2595,3.04
0.2098,0.8173,0.1827,4.77
0.2032,0.8221,0.1779,4.92
0.2263,0.8057,0.1943,4.42
0.279,0.7709,0.2291,3.58
0.1978,0.826,0.174,5.06
0.3461,0.7306,0.2694,2.89
0.1605,0.854,0.146,6.23
0.284,0.7677,0.2323,3.52
0.318,0.7469,0.2531,3.14
0.1726,0.8447,0.1553,5.79
0.1552,0.8581,0.1419,6.44
0.2166,0.8125,0.1875,4.62
0.2273,0.8051,0.1949,4.4
0.2105,0.8168,0.1832,4.75
0.2493,0.7901,0.2099,4.01
0.2348,0.7999,0.2001,4.26
0.2403,0.7962,0.2038,4.16
0.1757,0.8423,0.1577,5.69
0.1987,0.8253,0.1747,5.03
0.3409,0.7336,0.2664,2.93
0.2799,0.7703,0.2297,3.57
0.2356,0.7994,0.2006,4.24
0.1535,0.8595,0.1405,6.52
0.1329,0.876,0.124,7.52
0.2675,0.7782,0.2218,3.74
0.2391,0.797,0.203,4.18
0.1714,0.8456,0.1544,5.84
0.3355,0.7367,0.2633,2.98
0.3338,0.7377,0.2623,3.0
0.2891,0.7645,0.2355,3.46
0.2279,0.8046,0.1954,4.39
0.2286,0.8041,0.1959,4.37
0.3418,0.7331,0.2669,2.93
0.2319,0.8019,0.1981,4.31
0.2118,0.8159,0.1841,4.72
0.1847,0.8356,0.1644,5.41
0.2188,0.811,0.189,4.57
0.3559,0.7251,0.2749,2.81
0.1866,0.8341,0.1659,5.36
0.2282,0.8044,0.1956,4.38
0.2709,0.776,0.224,3.69
0.2696,0.7768,0.2232,3.71
0.372,0.7162,0.2838,2.69
0.1979,0.8259,0.1741,5.05
0.1784,0.8403,0.1597,5.6
0.3257,0.7424,0.2576,3.07
0.1913,0.8307,0.1693,5.23
0.3438,0.7319,0.2681,2.91
0.2286,0.8041,0.1959,4.37
0.3087,0.7525,0.2475,3.24
0.2569,0.7851,0.2149,3.89
0.2797,0.7704,0.2296,3.57
0.1784,0.8403,0.1597,5.6
0.2263,0.8058,0.1942,4.42
0.2797,0.7704,0.2296,3.57
0.1921,0.8301,0.1699,5.2
0.2183,0.8113,0.1887,4.58
0.2198,0.8103,0.1897,4.55
0.2016,0.8232,0.1768,4.96
0.1334,0.8756,0.1244,7.5
0.169,0.8474,0.1526,5.92
0.1959,0.8273,0.1727,5.1
0.212,0.8157,0.1843,4.72
0.2699,0.7767,0.2233,3.71
0.175,0.8428,0.1572,5.71
0.2431,0.7943,0.2057,4.11
0.1732,0.8442,0.1558,5.77
0.1764,0.8418,0.1582,5.67
0.2314,0.8022,0.1978,4.32
0.3039,0.7554,0.2446,3.29
0.2565,0.7854,0.2146,3.9
0.2103,0.817,0.183,4.76
0.1685,0.8478,0.1522,5.94
0.2739,0.7741,0.2259,3.65
0.2449,0.7931,0.2069,4.08
0.1949,0.828,0.172,5.13
0.2904,0.7637,0.2363,3.44
0.2901,0.7639,0.2361,3.45
0.1852,0.8352,0.1648,5.4
0.256,0.7857,0.2143,3.91
0.2843,0.7675,0.2325,3.52
0.2754,0.7732,0.2268,3.63
0.2364,0.7988,0.2012,4.23
0.2751,0.7734,0.2266,3.64
0.2945,0.7611,0.2389,3.4
0.2714,0.7757,0.2243,3.68
0.3921,0.7053,0.2947,2.55
0.2859,0.7665,0.2335,3.5
0.217,0.8122,0.1878,4.61
0.2583,0.7842,0.2158,3.87
0.2851,0.767,0.233,3.51
0.1906,0.8312,0.1688,5.25
0.3163,0.748,0.252,3.16
0.2077,0.8188,0.1812,4.81
0.2027,0.8224,0.1776,4.93
